<TEMP_FEC>
21
21
9
21
21
3
1
21
10
21
21
21
1
4
10
21
21
12
21
21
21
21
21
21
21
7
21
3
21
8
13
21
21
21
21
21
21
21
21
2
2
21
21
11
21
21
21
21
21
21
21
21
8
21
21
21
21
21
11
21
6
4
5
21
21
21
21
12
21
21
21
21
21
21
21
21
21
21
21
21
21
21
21
21
21
21
21
21
21
21
21
21
21
21
21
21
21
21
6
20
21
21
21
21
2
21
2
21
21
21
1
21
21
21
21
21
21
6
6
9
21
13
19
3
1
18
21
6
3
21
21
10
21
21
21
21
4
21
21
21
21
12
13
21
21
21
21
21
21
21
21
21
21
21
21
21
21
21
21
21
21
21
12
1
21
21
21
21
16
21
21
21
20
21
21
21
21
21
21
21
21
21
21
21
21
21
21
21
21
21
21
21
21
21
1
5
21
2
