<TEMP_FEC>
21
21
19
21
21
21
21
21
5
3
21
21
21
21
21
21
3
21
1
2
21
21
9
21
21
21
21
21
21
21
21
21
9
21
21
21
16
21
21
18
21
21
7
21
21
21
21
7
21
21
9
8
1
21
21
21
21
21
21
21
20
21
21
21
21
14
21
21
21
8
21
21
17
21
15
21
13
21
21
21
21
21
21
21
1
21
3
2
21
21
17
21
8
21
2
21
21
21
21
2
21
21
14
21
21
6
21
21
21
21
21
2
8
21
18
21
21
21
21
21
21
21
21
21
21
21
21
21
8
21
21
21
2
7
2
21
6
21
21
12
21
14
20
15
21
9
21
21
2
21
21
21
21
21
21
21
9
21
20
21
6
21
21
21
21
21
21
21
21
21
21
21
13
14
14
21
7
21
6
1
21
2
21
21
12
21
21
21
21
5
21
21
21
21
21
21
21
2
21
21
21
21
21
21
21
3
21
21
21
21
21
21
21
21
7
21
21
21
21
21
21
21
17
21
21
21
21
8
6
21
21
21
21
5
21
6
21
2
1
21
21
2
21
21
2
21
