ΔP	Δt	Δt1	QTD	faixas	F_ΔP	F_Δt	F_Δt1	F_QTD	N_ΔP	N_Δt	N_Δt1	N_QTD
9.94231	18.6538	9.34615	26	5<=gap<10	5.3	5.95	1.75	20	25.4167	61	34.6667	6
17.1286	34.9429	18.4857	35	10<=gap<15	7.68421	13.0	2.89474	19	28.3438	61	37.0	16
16.9286	39.5429	18.2857	35	15<=gap<20	7.55263	21.4737	5.36842	19	28.0625	61	33.625	16
22.6429	53.0714	21.1786	28	20<=gap<25	9.5	36.3333	7.33333	9	28.8684	61	27.7368	19
24.4722	57.3333	27.4444	18	25<=gap<30	10.8333	39.0	8.33333	3	27.2	61	31.2667	15
23.1786	56.6964	19.9107	56	gap>=30	8.8125	30.875	8.25	8	25.5729	61	21.8542	48
