<TEMP_HIGH>
19
8
4
14
15
0
0
2
3
10
17
16
0
0
0
3
19
0
10
11
0
6
1
2
17
4
8
0
10
6
7
5
5
18
3
7
7
0
17
0
0
14
5
1
9
7
15
8
19
3
0
10
4
10
8
0
11
14
1
0
0
0
1
10
15
15
2
1
11
18
14
0
18
17
1
13
4
14
3
12
4
14
0
19
6
1
2
12
2
13
13
7
19
14
19
18
16
0
0
0
16
17
16
19
0
5
0
19
1
17
0
18
2
18
0
17
13
1
1
0
0
0
0
1
0
1
7
0
1
5
17
1
13
4
16
19
0
7
3
2
16
1
0
0
12
7
0
1
19
1
19
0
3
15
0
19
0
14
5
9
12
0
0
0
5
0
19
11
6
0
11
14
7
3
18
19
15
17
19
5
11
17
0
19
14
18
19
5
0
0
15
16
5
3
0
1
0
0
