<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<PRECO_ANT>
2020.09.18	09:00:00	5254.5	5255.0	5247.0	5248.0	3252	8562	5239.5
2020.09.21	09:03:00	5452.0	5453.0	5446.5	5448.5	2822	13063	5391.5
2020.09.22	09:03:00	5426.5	5430.5	5425.0	5427.0	4964	12702	5418.5
2020.09.23	09:02:00	5508.5	5515.0	5507.0	5509.0	4431	18366	5472.0
2020.09.25	09:00:00	5541.5	5544.0	5535.0	5540.0	3682	10594	5509.0
2020.10.02	09:00:00	5660.5	5666.0	5657.5	5663.0	3347	9958	5646.5
2020.10.14	09:00:00	5595.5	5595.5	5563.5	5563.5	5107	13112	5565.5
2020.10.15	09:00:00	5633.0	5641.0	5632.5	5640.5	3482	10315	5597.0
2020.10.22	09:00:00	5616.0	5622.0	5614.0	5616.5	3578	9175	5610.0
2020.10.26	09:03:00	5646.5	5651.0	5645.0	5645.0	6065	22352	5621.5
2020.10.28	09:03:00	5733.5	5739.0	5729.0	5731.5	8965	36500	5709.5
2020.10.29	09:03:00	5785.0	5786.5	5773.5	5775.5	9722	30588	5749.0
2020.11.04	09:03:00	5768.0	5768.0	5757.0	5759.5	6482	21638	5761.0
2020.11.19	09:00:00	5383.0	5386.0	5373.0	5374.5	3517	8861	5365.0
2020.11.25	09:00:00	5392.0	5398.5	5391.5	5393.5	2276	5354	5374.5
2020.11.26	09:00:00	5345.5	5346.0	5340.5	5343.0	1940	4857	5322.0
2020.12.02	09:03:00	5226.0	5230.0	5225.0	5228.5	4407	16640	5208.5
2020.12.07	09:00:00	5170.0	5170.0	5165.5	5170.0	2372	8342	5159.0
2020.12.08	09:00:00	5121.5	5126.5	5117.0	5123.5	2836	7454	5099.5
2020.12.11	09:03:00	5055.0	5060.0	5055.0	5056.5	3939	14607	5027.5
2020.12.18	09:00:00	5099.5	5107.0	5097.5	5101.5	3639	8934	5057.5
2020.12.21	09:06:00	5203.0	5210.0	5200.0	5204.5	8416	38630	5102.0
2020.12.22	09:00:00	5136.0	5139.5	5132.0	5138.0	3086	9324	5118.5
2021.01.07	09:00:00	5345.5	5355.0	5344.5	5350.0	4284	11248	5322.0
2021.01.11	09:03:00	5457.0	5462.5	5455.5	5458.5	4956	16799	5422.5
2021.01.13	09:00:00	5351.5	5351.5	5346.0	5350.0	2292	7658	5329.5
2021.01.15	09:03:00	5244.0	5245.0	5241.5	5242.0	3982	13013	5199.0
2021.01.18	09:00:00	5313.5	5314.5	5304.0	5305.0	3604	10395	5294.5
2021.01.22	09:04:00	5405.0	5405.0	5399.0	5399.0	6555	25861	5353.0
2021.01.27	09:00:00	5371.5	5375.5	5369.0	5371.0	2582	10220	5356.0
2021.01.28	09:00:00	5430.0	5430.0	5420.5	5426.0	2809	6975	5415.0
2021.02.04	09:00:00	5375.0	5381.0	5374.0	5378.5	1887	5097	5356.5
2021.02.08	09:00:00	5400.0	5409.0	5398.0	5409.0	3865	10396	5375.0
2021.02.12	09:00:00	5405.0	5406.5	5403.0	5404.5	903	3736	5370.5
2021.02.17	13:03:00	5429.0	5432.0	5425.0	5426.0	3584	13197	5373.0
2021.02.19	09:02:00	5462.5	5464.0	5461.5	5462.0	2047	11902	5431.5
2021.02.22	09:03:00	5510.0	5515.0	5510.0	5515.0	3299	17327	5383.0
2021.02.25	09:03:00	5436.5	5438.5	5434.5	5435.5	5135	18027	5405.0
2021.03.02	09:03:00	5673.0	5678.0	5666.0	5667.0	10226	29584	5647.5
2021.03.03	09:00:00	5693.5	5694.5	5688.0	5688.5	2184	5603	5686.0
2021.03.05	09:00:00	5683.0	5687.0	5681.0	5685.0	2264	5505	5675.0
2021.03.08	09:03:00	5740.0	5744.5	5740.0	5742.5	2473	9525	5697.0
2021.03.12	09:03:00	5577.5	5579.0	5573.5	5575.0	3433	9988	5542.5
2021.03.16	09:00:00	5631.0	5637.0	5627.0	5635.0	1771	5077	5621.0
2021.03.17	09:00:00	5665.0	5669.0	5658.0	5660.0	5851	14804	5628.0
2021.03.22	09:00:00	5510.0	5513.0	5507.0	5510.5	3166	10820	5492.0
2021.03.23	09:00:00	5542.0	5550.5	5542.0	5549.0	3445	10740	5514.0
2021.03.29	09:03:00	5767.0	5772.0	5762.5	5762.5	5669	26248	5757.0
2021.04.09	09:03:00	5605.0	5608.5	5600.0	5604.0	5583	16747	5578.5
2021.04.20	09:00:00	5571.0	5574.5	5570.0	5573.5	1391	3327	5549.0
2021.04.30	09:00:00	5369.0	5373.0	5363.5	5367.0	1916	6184	5339.5
2021.05.04	09:00:00	5474.0	5478.5	5468.5	5476.5	3950	11761	5453.5
2021.05.11	09:00:00	5247.5	5247.5	5240.0	5245.0	2601	9514	5234.0
2021.05.12	09:00:00	5243.5	5245.0	5237.5	5242.0	2962	7763	5231.5
2021.05.17	09:00:00	5295.0	5299.0	5291.0	5294.0	2904	6323	5280.0
2021.05.19	09:00:00	5292.5	5297.0	5292.5	5296.0	3327	7794	5267.0
2021.05.28	09:02:00	5258.0	5258.5	5254.0	5254.0	3795	14245	5238.0
2021.05.31	09:00:00	5243.0	5250.0	5241.5	5248.0	1617	5675	5227.0
