<TEMP_LOW>
3
27
0
7
36
11
16
58
1
1
39
40
16
3
41
55
2
44
0
0
19
1
0
20
48
2
2
59
4
57
58
2
0
9
9
23
2
33
12
7
23
17
1
18
43
57
1
0
1
1
2
0
0
30
22
5
51
3
7
18
9
6
9
1
7
3
39
6
50
0
3
48
5
5
3
59
6
20
20
50
22
33
47
57
0
20
0
0
59
37
2
18
0
6
0
32
20
1
59
0
30
45
2
0
14
3
20
8
35
36
58
0
2
33
3
11
0
30
2
10
1
1
21
0
18
11
3
30
0
6
1
47
0
0
0
59
0
59
55
1
59
1
0
0
54
0
25
53
0
11
9
59
31
38
57
6
1
31
1
45
2
17
59
26
4
5
25
22
23
43
3
40
1
1
1
21
1
0
2
0
56
0
38
0
8
59
59
22
58
0
12
50
53
10
31
15
18
0
59
0
3
27
1
39
59
0
55
59
24
24
1
57
2
30
4
12
1
17
38
15
43
12
1
15
36
59
15
0
0
29
0
35
31
1
16
0
0
0
0
18
13
0
13
17
0
49
