<MIN_MAX>
5243
5401
5418.5
5486
5518.5
5552
5643.5
5590.5
5668.5
5680
5563
5595
5611.5
5593.5
5527
5580
5603.5
5612
5645
5604.5
5613
5590
5624.5
5622
5712.5
5765
5742.5
5762
5654.5
5526
5363
5407
5454
5460.5
5413.5
5374.5
5301.5
5380
5435.5
5377
5332.5
5335
5329.5
5334
5217
5164
5119
5114
5161
5039
5060
5114.5
5080
5077.5
5070.5
5106.5
5129
5153.5
5210
5236.5
5192.5
5187
5280.5
5277.5
5322
5404
5429
5489
5329.5
5301.5
5207
5308.5
5293
5359.5
5291
5369.5
5362
5420
5434.5
5462.5
5431.5
5354.5
5375
5428
5378
5362
5380
5389.5
5381
5411
5439
5389.5
5453
5433
5420.5
5597.5
5650
5694.5
5616
5675
5703.5
5841.5
5805.5
5674.5
5548
5640
5630
5583
5560
5499.5
5514
5502.5
5759
5636.5
5716.5
5618
5589.5
5676.5
5708
5590.5
5555
5565
5441
5477
5350
5447.5
5459
5446.5
5363.5
5239.5
5234
5300
5282
5269.5
5269
5315
5317.5
5333.5
5307.5
5248.5
5228
5230
5170.5
5093
5054
5047.5
5044.5
5065.5
5127.5
5057.5
5073
5093
4971
4939.5
4934
4960
4983
5058.5
5106
5211.5
5250.5
5262.5
5188
5173.5
5091
5118
5131
5253
5234
5205.5
5202
5187.5
5110.5
5084.5
5215.5
5212.5
5187
5253
5211.5
5231
5262
5265
5279.5
5298
5407.5
5427
5373
5382.5
5262.5
5225
5256
5202
5189.5
5205.5
5197.5
5209
5192
5332.5
5212
5260.5
5235
5250
5245.5
5305
5332
5277.5
5295.5
5312
5338.5
5399
5431
5425
5465
5394
5468
5504.5
5509
5527
5522
5554
5526.5
5524
5528
5611.5
5678.5
5555
5665.5
5662
5701
5599
5620.5
5569.5
5510.5
5505
5423
5466
5513.5
5577
5615
5604.5
5638
5683.5
5677
5718.5
5640
5598
5630
5695.5
5699.5
5714
5748.5
5753.5
5626.5
5631.5
5712
5715
5666
5688.5
5600
5561
5544.5
5583
5460
5442.5
5478
5501.5
5445.5
5414.5
5379
5339
5307.5
5318
5352.5
5294.5
5281
5256.5
5267
5227.5
5152
5180.5
5141.5
5106.5
5060.5
5017.5
5131
5215
5145
5075
5102
5140.5
5093
5046
5041
5102
5145
5185.5
5062.5
4927
4830.5
4756.5
4789
4775
4743
4775
4727
4713
4695.5
4713.5
4670
4681
4638.5
4819
4895
4997.5
4978.5
4954.5
5012.5
5128
5013
4963.5
5065
5137
5186
5165
5176.5
5153.5
5088.5
5074.5
4970
4986
4939
4891.5
4827.5
4831
4829.5
4766
4731
4757.5
4851.5
4839.5
4810
5019
5140.5
5085
5203
5156
5244
5239
5268
5188.5
5303
5371
5373.5
5435
5457.5
5388.5
5298
5466
5434
5444
5421
5443.5
5434
5478
5508
5505.5
5379.5
5345.5
5254
5190
5216.5
5234.5
5323
5258
5194
5150
5156.5
5115
5185
5107.5
5124
5176
5189
5190
5170.5
5117
5083
5028.5
5128
5232.5
5268
5214
5192
5276
5239.5
5174.5
5116
5193.5
5276
5188.5
5179.5
5127
5276
5393
5390
5379
5407.5
5434
5193.5
5216
5245
5224.5
5314.5
5298
5340.5
5290
5257.5
5282
5228
5174.5
5307.5
5317
5350
5307.5
5197
5192
5141.5
5195.5
5174
5220
5352
5343
5427
5424.5
5399
5319.5
5365
5358
5430
5367.5
5281.5
5223
5246
5308.5
