<PRECO_HIGH>
17.5
46.5
8
20.5
38.5
5.5
0
18
8
18
59.5
5
0
3
6.5
13
29.5
0
7.5
14.5
13.5
21.5
17.5
28.5
46
6.5
31
1
26.5
5
4
21.5
24
5.5
6.5
9.5
24.5
9
27
1
4
28.5
9
8
21
39.5
11
29.5
45.5
21
4
22.5
4.5
29
30.5
15.5
3
8.5
4
2
4
4.5
2.5
22.5
8
35
19
4
11.5
41
35.5
5.5
46
23.5
23
1
38
28.5
2.5
17
13
29.5
2.5
22.5
25.5
29
8
11.5
6
6
29.5
12
27.5
70
17
50
39.5
6
2.5
1
97.5
14
22
9.5
1.5
7.5
0
20
4
16
1.5
28.5
12
22.5
5
36.5
33
5.5
6.5
1.5
35.5
5
0
6.5
0
21.5
16
4
2
17.5
26.5
2.5
29.5
36.5
32.5
34
16.5
36.5
39
14
37
6.5
4.5
0
22
17
2
31
34
7.5
32
26
26
16.5
8
41.5
4.5
18.5
9
10.5
18
21.5
8
2
27.5
17.5
35.5
12.5
11
10
48.5
17.5
8
33.5
31
7
12
40
49.5
12.5
32.5
23.5
10.5
17.5
21.5
39
48.5
31.5
9
34
70
24
101
33.5
1
8.5
42.5
8
