<PRECO_HIGH>
5
10
8
15.5
11
5.5
0
18
8
9
16.5
5
0
3
6.5
11
29.5
0
7.5
14.5
7.5
19.5
15.5
28.5
42
6.5
12.5
1
17
5
4
21.5
17.5
3.5
6.5
9.5
24.5
2
17
1
4
22.5
9
8
12.5
9
11
10.5
24.5
21
4
15.5
4.5
9.5
20
4.5
3
8.5
4
2
4
4.5
2.5
22.5
8
9
19
4
11.5
28.5
17
1
46
22.5
23
1
38
12
2.5
5
13
29.5
2.5
7.5
24.5
14.5
8
11.5
6
6
29.5
12
24
39
17
27.5
26.5
6
2.5
1
17
14
22
9.5
1.5
7.5
0
20
4
16
1.5
28
11.5
22.5
5
34.5
14
5.5
6.5
1.5
0
5
0
6.5
0
21.5
4
4
2
17.5
26.5
2.5
29.5
36.5
18
27
16.5
18.5
13
14
37
6.5
4.5
0
22
17
1
31
29
7.5
12
11.5
15.5
16.5
8
14.5
4.5
5
9
10.5
18
9.5
8
2
27.5
11
25.5
11.5
11
10
27
17.5
8
12.5
16.5
4.5
12
12
49.5
12.5
32.5
11
10.5
12
16.5
23
47
31.5
9
7
70
19.5
75
33.5
1
8.5
10
8
