<DATE>	<TIME>	<OPEN>	<CLOSE>	<PRECO_ANT>
2021.08.30	09:00:00	5200.0	5203.0	5206.0
2021.08.31	09:00:00	5207.0	5205.5	5185.0
2021.09.02	09:00:00	5194.0	5194.5	5207.5
2021.09.03	09:00:00	5192.5	5190.5	5202.0
2021.09.06	09:00:00	5207.5	5207.5	5217.0
2021.09.08	09:00:00	5211.5	5216.5	5189.0
2021.09.09	09:00:00	5322.0	5328.0	5335.0
2021.09.10	09:03:00	5179.0	5176.5	5226.5
2021.09.13	09:00:00	5253.0	5249.5	5268.0
2021.09.14	09:00:00	5250.0	5251.5	5233.5
2021.09.15	09:00:00	5255.0	5256.0	5263.0
2021.09.16	09:00:00	5250.0	5246.0	5241.5
2021.09.20	09:04:00	5331.0	5335.0	5297.5
2021.09.21	09:00:00	5320.5	5322.5	5336.0
2021.09.22	09:00:00	5262.0	5263.0	5277.5
2021.09.23	09:00:00	5268.0	5272.5	5298.5
2021.09.24	09:00:00	5320.0	5327.5	5311.5
2021.09.27	09:00:00	5326.0	5326.0	5343.0
2021.09.28	09:03:00	5408.5	5409.5	5395.5
2021.09.29	09:00:00	5410.0	5414.0	5431.0
2021.09.30	09:00:00	5431.5	5434.0	5412.5
2021.10.01	09:00:00	5442.5	5446.5	5467.5
2021.10.04	09:00:00	5408.5	5408.5	5387.0
2021.10.05	09:00:00	5450.0	5461.5	5481.0
2021.10.06	09:03:00	5535.0	5530.5	5501.0
2021.10.07	09:00:00	5491.5	5492.5	5512.5
2021.10.08	09:00:00	5519.0	5518.5	5538.5
2021.10.11	09:00:00	5517.0	5514.0	5529.5
2021.10.13	09:00:00	5532.5	5534.5	5554.5
2021.10.14	09:00:00	5487.0	5486.5	5530.5
2021.10.15	09:00:00	5501.0	5507.5	5527.5
2021.10.19	09:04:00	5555.0	5560.5	5524.0
2021.10.21	09:02:00	5671.5	5673.0	5606.5
2021.10.22	09:00:00	5690.0	5686.5	5667.0
2021.10.28	09:01:00	5556.0	5570.0	5545.0
2021.10.29	09:00:00	5670.0	5681.5	5646.5
2021.11.01	09:02:00	5658.5	5658.5	5665.0
2021.11.03	09:01:00	5703.0	5706.5	5714.5
2021.11.04	09:00:00	5596.5	5598.0	5582.5
2021.11.05	09:00:00	5624.0	5627.5	5631.0
2021.11.08	09:00:00	5581.5	5591.5	5565.5
2021.11.10	09:00:00	5524.0	5524.0	5499.5
2021.11.11	09:00:00	5502.0	5489.0	5510.5
2021.11.12	09:00:00	5420.0	5418.5	5413.5
2021.11.16	09:00:00	5460.5	5462.0	5477.0
2021.11.17	09:00:00	5500.0	5503.0	5518.0
2021.11.19	09:03:00	5589.0	5587.0	5572.0
2021.11.22	09:00:00	5611.5	5611.0	5624.0
2021.11.23	09:00:00	5615.0	5610.0	5593.0
2021.12.02	09:00:00	5700.5	5705.0	5632.5
2021.12.03	09:00:00	5685.0	5682.5	5679.0
2021.12.06	09:00:00	5676.0	5671.0	5685.5
2021.12.07	09:04:00	5697.0	5700.5	5724.0
2021.12.08	09:00:00	5634.0	5635.0	5651.0
2021.12.10	09:00:00	5585.0	5588.0	5598.5
2021.12.13	09:00:00	5629.0	5629.0	5638.5
2021.12.14	09:00:00	5686.5	5689.5	5704.5
2021.12.16	09:00:00	5688.0	5688.0	5703.5
2021.12.20	09:00:00	5724.5	5722.0	5709.0
2021.12.21	09:00:00	5734.5	5736.5	5757.5
2021.12.22	09:00:00	5744.5	5746.0	5757.0
2021.12.28	09:00:00	5622.0	5626.5	5628.0
2021.12.29	09:00:00	5638.5	5633.0	5631.0
2021.12.30	09:00:00	5735.0	5735.0	5703.0
2022.01.04	09:00:00	5704.5	5705.0	5727.0
2022.01.10	09:00:00	5673.5	5669.0	5666.0
2022.01.11	09:00:00	5679.5	5679.5	5690.5
2022.01.12	09:00:00	5604.5	5610.5	5597.5
2022.01.13	09:00:00	5573.0	5570.0	5560.0
2022.01.18	09:00:00	5551.5	5555.5	5532.5
2022.01.19	09:00:00	5560.0	5563.5	5584.0
2022.01.20	09:00:00	5460.0	5461.0	5454.0
2022.01.21	09:00:00	5451.0	5441.5	5430.5
2022.01.24	09:00:00	5487.0	5489.0	5469.5
2022.01.25	09:00:00	5506.0	5519.0	5497.0
2022.01.26	09:00:00	5433.0	5435.5	5451.5
2022.01.28	09:00:00	5430.0	5427.0	5411.5
2022.01.31	09:00:00	5399.5	5403.0	5370.5
2022.02.01	09:00:00	5334.0	5330.5	5345.0
2022.02.03	09:00:00	5308.0	5310.5	5296.0
2022.02.04	09:00:00	5329.5	5333.5	5318.0
2022.02.07	09:00:00	5345.0	5348.0	5359.0
