<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<PRECO_ANT>	<PRECO_HIGH>	<TEMP_GAP>	<TEMPO_HIGH>
2020.09.18	09:00:00	5254.5	5255.0	5247.0	5248.0	3252	8562	5239.5	17.5	61	40
2020.09.21	09:03:00	5452.0	5453.0	5446.5	5448.5	2822	13063	5391.5	46.5	61	42
2020.09.22	09:03:00	5426.5	5430.5	5425.0	5427.0	4964	12702	5418.5	8.0	9	4
2020.09.23	09:02:00	5508.5	5515.0	5507.0	5509.0	4431	18366	5472.0	20.5	61	23
2020.09.25	09:00:00	5541.5	5544.0	5535.0	5540.0	3682	10594	5509.0	38.5	61	57
2020.10.02	09:00:00	5660.5	5666.0	5657.5	5663.0	3347	9958	5646.5	5.5	3	0
2020.10.14	09:00:00	5595.5	5595.5	5563.5	5563.5	5107	13112	5565.5	0.0	1	0
2020.10.15	09:00:00	5633.0	5641.0	5632.5	5640.5	3482	10315	5597.0	18.0	61	2
2020.10.22	09:00:00	5616.0	5622.0	5614.0	5616.5	3578	9175	5610.0	8.0	10	3
2020.10.26	09:03:00	5646.5	5651.0	5645.0	5645.0	6065	22352	5621.5	18.0	61	47
2020.10.28	09:03:00	5733.5	5739.0	5729.0	5731.5	8965	36500	5709.5	59.5	61	42
2020.10.29	09:03:00	5785.0	5786.5	5773.5	5775.5	9722	30588	5749.0	5.0	61	16
2020.11.04	09:03:00	5768.0	5768.0	5757.0	5759.5	6482	21638	5761.0	0.0	1	0
2020.11.19	09:00:00	5383.0	5386.0	5373.0	5374.5	3517	8861	5365.0	3.0	4	0
2020.11.25	09:00:00	5392.0	5398.5	5391.5	5393.5	2276	5354	5374.5	6.5	10	0
2020.11.26	09:00:00	5345.5	5346.0	5340.5	5343.0	1940	4857	5322.0	13.0	61	45
2020.12.02	09:03:00	5226.0	5230.0	5225.0	5228.5	4407	16640	5208.5	29.5	61	19
2020.12.07	09:00:00	5170.0	5170.0	5165.5	5170.0	2372	8342	5159.0	0.0	12	0
2020.12.08	09:00:00	5121.5	5126.5	5117.0	5123.5	2836	7454	5099.5	7.5	26	10
2020.12.11	09:03:00	5055.0	5060.0	5055.0	5056.5	3939	14607	5027.5	14.5	61	11
2020.12.18	09:00:00	5099.5	5107.0	5097.5	5101.5	3639	8934	5057.5	13.5	61	37
2020.12.21	09:06:00	5203.0	5210.0	5200.0	5204.5	8416	38630	5102.0	21.5	61	29
2020.12.22	09:00:00	5136.0	5139.5	5132.0	5138.0	3086	9324	5118.5	17.5	61	51
2021.01.07	09:00:00	5345.5	5355.0	5344.5	5350.0	4284	11248	5322.0	28.5	43	2
2021.01.11	09:03:00	5457.0	5462.5	5455.5	5458.5	4956	16799	5422.5	46.0	61	24
