<TEMPO_HIGH>
40
42
4
23
57
0
0
2
3
47
42
16
0
0
0
45
19
0
10
11
37
29
51
2
24
4
45
0
42
6
7
5
25
30
3
7
7
57
32
0
0
59
5
1
33
55
15
50
48
3
0
20
4
35
59
39
11
14
1
0
0
0
1
10
15
35
2
1
11
30
59
20
18
22
1
13
4
58
3
56
4
14
0
47
28
49
2
12
2
13
13
7
58
54
19
49
55
0
0
0
56
17
16
19
0
5
0
19
1
17
0
26
21
18
0
20
59
1
1
0
58
0
0
1
0
1
54
0
1
5
17
1
13
4
44
58
0
59
40
2
16
1
0
0
12
7
30
1
22
1
51
41
44
15
0
36
0
42
5
9
12
39
0
0
5
48
30
25
6
0
35
14
7
48
36
21
15
33
19
5
11
30
0
29
32
50
20
5
0
29
15
21
33
3
0
1
57
0
