<TEMP_GAP>
61
61
9
61
61
3
1
61
10
61
61
61
1
4
10
61
61
12
26
61
61
61
61
43
61
7
61
3
61
8
13
61
61
61
61
30
61
61
61
2
2
61
61
11
61
61
45
61
61
45
61
61
8
61
61
61
61
61
11
29
6
4
5
61
61
61
61
12
23
61
61
24
61
31
61
32
61
61
32
61
51
61
31
61
61
61
61
31
61
61
61
61
61
61
61
61
61
51
6
20
61
61
61
61
2
52
2
61
24
61
1
61
61
61
33
61
61
6
6
9
61
13
19
3
1
18
61
6
3
61
45
10
61
61
61
61
4
61
61
61
61
12
13
39
61
61
33
61
61
61
61
61
61
61
29
61
61
61
38
35
61
61
12
1
61
61
61
53
16
21
61
31
20
61
61
61
61
61
61
34
61
61
61
40
61
61
61
31
61
50
61
61
61
61
1
5
61
2
