<TEMP_GAP>
61
59
19
61
61
61
30
61
5
3
61
61
61
43
61
61
3
61
1
2
61
61
9
61
61
22
61
61
51
61
61
61
9
61
61
61
16
61
61
18
48
61
7
61
61
61
61
7
61
61
9
8
1
61
61
61
61
26
39
61
20
61
61
61
44
14
61
61
61
8
22
61
17
61
15
61
13
61
61
61
61
61
61
61
1
61
3
2
61
61
17
28
8
54
2
61
41
21
61
2
61
61
14
61
26
6
27
61
61
61
61
2
8
61
18
32
44
61
24
61
31
59
38
23
61
61
32
61
8
59
61
61
2
7
2
61
6
61
61
12
61
14
20
15
61
9
61
61
2
29
26
61
61
61
61
47
9
61
20
61
6
61
61
61
61
61
61
61
61
61
61
61
13
14
14
39
7
47
6
1
61
2
61
31
12
61
61
61
61
5
32
61
61
61
61
61
61
2
61
25
61
31
23
61
61
3
61
61
61
61
61
61
21
61
7
61
30
29
61
61
61
61
17
61
61
61
61
8
6
31
61
61
61
5
43
6
31
2
1
61
61
2
61
61
2
61
