<PRECO_LOW>
1.5
40.5
0.5
12
17.5
10
2.5
32.5
4
5
27.5
28.5
9
10
25.5
40.5
5
55.5
0.5
5
64
9.5
1
12
13.5
7.5
25.5
20.5
13.5
15.5
28.5
11
2
14
17
16.5
11.5
31
9
12
35.5
27.5
8
39.5
28.5
27
16.5
1
15.5
4.5
11
0
0.5
33.5
4
14
26.5
12.5
19.5
28
17
13
28
4.5
17.5
18.5
15
23
46.5
11
14
73.5
5
13.5
8
38.5
14
21.5
23
22.5
17
23.5
22
29
1.5
16.5
2.5
0.5
16
23.5
5.5
15
2
10.5
1.5
61
27.5
9.5
37.5
2.5
15.5
60
12.5
5.5
17
7
11
12.5
20.5
37.5
22.5
0.5
4.5
42.5
3.5
18
5
35
11.5
18
4.5
5
14.5
0
11.5
3.5
4
25
8
6.5
6.5
16.5
6
2
2
43.5
3.5
18
14
9
36
3
1
1
11
5
9
30
2
2
5.5
23
10
26
24.5
14
6.5
37.5
2
32
2.5
21
35
24
12.5
17.5
14.5
14.5
20
39
22.5
45.5
8.5
4
2.5
19.5
2
2
8.5
0.5
14.5
7
29
2.5
6.5
41.5
17
5
30
2
15.5
22
16.5
10
16.5
22
25
0.5
33.5
1
16
11.5
5
10
20
0
31
29
17
28.5
6
30
6.5
20
5
2.5
6
5.5
51.5
31.5
5
4
5
8
51.5
31
36
0
3
24
3.5
22.5
38.5
3.5
13
3
1
20.5
1
56.5
30.5
0.5
15.5
35.5
5
46
